track_number,title,artist,duration,url,youtube_url,youtube_title,youtube_duration,youtube_channel,duration_match,duration_difference,search_query
1,Move (feat. Malachiii),"Adam Port, Keinemusik, Stryv",5:52,https://www.beatport.com/track/move-feat-malachiii/19119572,https://www.youtube.com/watch?v=95dB-ObZ7Ho,"Adam Port, Stryv - Move feat. Malachiii (Extended Version)",5:53,keinemusik,True,1,Move (feat. Malachiii)
2,Falling Liva K Remix,"DJ Kent, Maleh, Liva K",5:20,https://www.beatport.com/track/falling/20656340,https://www.youtube.com/watch?v=kS2ENPSBHKE,DJ Kent Feat. Maleh - Falling (Liva K Remix) MIDH 094,5:20,Madorasindahouse,True,0,Falling Liva K Remix
3,Opera Original Mix,"Marasi, &ME, Rampa",5:14,https://www.beatport.com/track/opera/18748349,https://www.youtube.com/watch?v=7P9AZeQaiwY,Marasi - Opera (MIDH 063),5:14,Madorasindahouse,True,0,Opera Original Mix
4,Ulelè Original Mix,"Moeaike, Ajna (BE), Samm (BE)",6:23,https://www.beatport.com/track/ulele/19925767,https://www.youtube.com/watch?v=jaSIMNpagYI,"Moeaike, Ajna (BE), Samm (BE) - Ulelè (Original Mix)",6:24,MUSICUNEED,True,1,Ulelè Original Mix
5,Mamasay Mamasa Extended Mix,"Maximus (Kz), Adam Port, Stryv",5:02,https://www.beatport.com/track/mamasay-mamasa/20156102,https://www.youtube.com/watch?v=JQ0Zh1y55-I,Mamasay Mamasa (Extended Mix),5:03,Maximus - Topic,True,1,Mamasay Mamasa Extended Mix
6,Kiddo Extended Mix,"Oktave, JUNO (DE), Adam Port",5:44,https://www.beatport.com/track/kiddo/20489784,https://www.youtube.com/watch?v=n689J8uJtbw,Kiddo (Extended Mix),5:44,Oktave - Topic,True,0,Kiddo Extended Mix
7,Forever (feat. Malou & Yuna) Original Mix,"Diplo, Malou, Yuna",5:47,https://www.beatport.com/track/forever-feat-malou-yuna/19434801,https://www.youtube.com/watch?v=FO-HwcvLZtU,"Diplo, Hugel - Forever (ft. Malou & Yuna)",5:47,Selected.,True,0,Forever (feat. Malou & Yuna) Original Mix
8,You & Me Rivo Extended Mix,"Disclosure, Eliza Doolittle, Rivo",6:02,https://www.beatport.com/track/you-me/18504766,https://www.youtube.com/watch?v=-M-N8xV-Ik0,Disclosure - You & Me (Feat. Eliza Doolittle) - (Rivo Extended Mix),6:03,Reflection.,True,1,You & Me Rivo Extended Mix
9,Body Language Original Mix,"Samm (BE), L.P. Rhythm, Jordan Peak",6:04,https://www.beatport.com/track/body-language/20633751,https://www.youtube.com/watch?v=yb5G9lpoSuI,Samm (BE) - Body Language (Original Mix),6:04,Cefan's sound,True,0,Body Language Original Mix
10,James Bande Original Mix,"Nesta, Toman, Max Dean",8:25,https://www.beatport.com/track/james-bande/19973215,https://www.youtube.com/watch?v=KKhFyoACNh4,Nesta - James Bande (Original Mix),8:26,MUSICUNEED,True,1,James Bande Original Mix
11,All By Myself Original Mix,"Mita Gami, Mau P, RÜFÜS DU SOL",5:09,https://www.beatport.com/track/all-by-myself/19854665,https://www.youtube.com/watch?v=N0hRfTpwehQ,Celine Dion - ALL BY MYSELF+LYRICS,5:06,Naty's Channel,True,3,All By Myself Original Mix
12,Desperadio Original Mix,"Bonafique, Bonafique, T.Markakis",5:57,https://www.beatport.com/track/desperadio/20000277,https://www.youtube.com/watch?v=Iow3KCd_Z-k,Desperadio,5:57,Bonafique - Topic,True,0,Desperadio Original Mix
13,Marea (we've lost dancing) Original Mix,"The Blessed Madonna, Fred again.., Elton John",4:45,https://www.beatport.com/track/marea-weve-lost-dancing/14957156,https://www.youtube.com/watch?v=l4UkYBr1NnA,Fred again.. feat. The Blessed Madonna - Marea (We’ve Lost Dancing) (Official Audio),4:45,Fred again . .,True,0,Marea (we've lost dancing) Original Mix
14,Freydies Extended Mix,"Yuvèe, Quivver, Dave Seaman",6:05,https://www.beatport.com/track/freydies/20279912,https://www.youtube.com/watch?v=oBXzqh3dqAc,Yuvèe - Freydies,6:06,Anjunadeep,True,1,Freydies Extended Mix
15,In The Air Tonight Amal Nemer Extended Remix,"Kevin McKay, Kevin McKay, Amal Nemer",4:42,https://www.beatport.com/track/in-the-air-tonight/19729538,https://www.youtube.com/watch?v=Wm3Ajs00Deo,In The Air Tonight (Amal Nemer Extended Remix),4:43,Kevin McKay,True,1,In The Air Tonight Amal Nemer Extended Remix
16,The One Extended Mix,"Jocelyn Brown, Luke Alessi, Chloé Caillet",5:45,https://www.beatport.com/track/the-one/20307568,https://www.youtube.com/watch?v=mFwmkTB3SYU,Chloé Caillet & Luke Alessi - The One ft. Jocelyn Brown (Extended),5:45,Chloé Caillet | SMIILE RECORDS,True,0,The One Extended Mix
17,Got The Funk Extended Mix,"Low Steppa, Capri (UK), Mau P",7:03,https://www.beatport.com/track/got-the-funk/20284313,https://www.youtube.com/watch?v=UhR1DeWtadY,Low Steppa & Capri - Got The Funk (Extended Mix),7:02,Defected Records,True,1,Got The Funk Extended Mix
18,Lover's Walk Original Mix,"Kino Todo, Braidy, Omri Smadar",6:50,https://www.beatport.com/track/lovers-walk/20572953,https://www.youtube.com/watch?v=H1Rx4yCEpas,"Kino Todo, Braidy - Lover's Walk (Original MIx) (2025)",6:53,House Xpression,True,3,Lover's Walk Original Mix
19,Spring Girl Extended,"Maori, Adam Ten, Catz 'n Dogz",5:45,https://www.beatport.com/track/spring-girl/17985216,https://www.youtube.com/watch?v=CPOZdYC2TRs,Adam Ten & Maori - Spring Girl (Extended Mix),5:45,PlatterMatterMusic,True,0,Spring Girl Extended
20,She Freaks Original Mix,"Gabss, Pavel Petrov, Fabian B.",6:05,https://www.beatport.com/track/she-freaks/20218005,https://www.youtube.com/watch?v=gTanxI9cBos,She Freaks (Original Mix) | Gabss,6:06,MadHz,True,1,She Freaks Original Mix
21,Inside Your Mind Original Mix,"Carlo Whale, Th;en, Innellea",5:48,https://www.beatport.com/track/inside-your-mind/20425511,https://www.youtube.com/watch?v=rASikjCpX20,Inside your Mind - Original Mix,8:35,Nici Frida - Topic,False,167,Inside Your Mind Original Mix
22,Galaxy Extended Mix,"ARTBAT, Armin van Buuren, JOA (US)",5:09,https://www.beatport.com/track/galaxy/20691265,https://www.youtube.com/watch?v=d-sLhOJ739c,ARTBAT - Galaxy (Extended Mix),5:10,Stranger Network,True,1,Galaxy Extended Mix
23,SOS Extended Mix,"Cassian, Shakedown, Layton Giordani",4:18,https://www.beatport.com/track/sos/20437726,https://www.youtube.com/watch?v=CSi-uuyxBVI,Cassian - SOS (Extended Mix),4:19,Experts Only,True,1,SOS Extended Mix
24,Waste Away Original Mix,"HotLap, Jaquet, Ewerseen",6:10,https://www.beatport.com/track/waste-away/20430528,https://www.youtube.com/watch?v=xaleP00BY0I,Hotlap - Waste Away (Original Mix) - #afromelodic   #melodichouse,6:10,The Sacred Tribe,True,0,Waste Away Original Mix
25,Knight Rider Extended Mix,"Michael Cassette, Joseph Ray, Tom Baker",5:13,https://www.beatport.com/track/knight-rider/19868399,https://www.youtube.com/watch?v=rhLejQ00sus,Knight Rider - Extended Version,3:15,Joseph Yogarajah Jesu Prasad,False,118,Knight Rider Extended Mix
26,The Summit Extended Mix,"Braxton, Jon Gurd, Reset Robot",4:40,https://www.beatport.com/track/the-summit/19593499,https://www.youtube.com/watch?v=9WHwgbRPTZU,Braxton - The Summit,4:41,Anjunadeep,True,1,The Summit Extended Mix
